# arquivo com os dados do maranhão da pandemia de COVID-19 no estado do Ma
# dados usados da secretaria de estado do maranhão

	# Casos		# Mortes	#Suspeitos	#Descartados	# Codigo-dia	# dia/ mês
	0		0		0		0		1		18/3
	0		0		0		0		2		19/3
	1		0		214		0		3		20/3
	2		0		214		135		4		21/3
	2		0		280		136		5		22/3
	6		0		480		170		6		23/3
	8		0		584		182		7		24/3	
	8		0		584		182		8		25/3	
	10		0		728		297		9		26/3
	14		0		663		363		10		27/3
	16		0		647		379		11		28/3
	22		1		434		585		12		29/3
	31		1		222		791		13		30/3
	52		1		754		1247		14		31/3
	71		1		774		1413		15		1/4
	81		1		913		1452		16		2/4
	88		1		935		1503		17		3/4
	96		2		1084		1529		18		4/4
	133		2		1040		1652		19		5/4
	172		4		1218		1756		20		6/4
	230		11		1372		1855		21		7/4
	273		12		1627		1928		22		8/4
	293		16		1869		1987		23		9/4
	344		21		2242		2019		24		10/4
	398		24		2265		2053		25		11/4
	445		27		2269		2104		26		12/4
	478		32		2606		2131		27		13/4
	630		34		2889		2290		28		14/4
	695		37		3202		2426		29		15/4
	797		40		3676		2465		30		16/4
	1040		44		3676		2465		31		17/4
	1205		48		3588		3008		32		18/4
