# arquivo com os dados do maranhão da pandemia de COVID-19 no estado do Pa
# dados usados da secretaria de estado do maranhão

	# Casos		# Mortes	#Suspeitos	#Descartados	# Codigo-dia	# dia/ mês
	1		0		64		27		1		18/3
	1		0		74		34		2		19/3
	2		0		81		32		3		20/3
	2		0		234		76		4		21/3
	4		0		207		101		5		22/3
	5		0		206		169		6		23/3	
	5		0		168		215		7		24/4
	7		0		133		260		8		25/3
	13		0		97		411		9		26/3
	16		0		122		451		10		27/3
	18		0		105		531		11		28/3
	18		0		136		531		12		29/3
	26		0		47		688		13		30/3
	34		0		31		786		14		31/3
	41		1		83		857		15		1/4
	48		1		43		952		16		2/4
	75		1		94		1000		17		3/4
	78		1		78		1018		18		4/4
	86		1		133		1042		19		5/4
	103		3		84		1088		20		6/4	
	154		5		98		1135		21		7/4	
	165		6		134		1135		22		8/4
	169		7		166		1135		23		9/4
	217		9		221		1135		24		10/4
	237		11		228		1207		25		11/4
	259		14		262		1223		26		12/4
	310		14		189		1306		27		13/4
	384		21		221		1389		28		14/4
	487		21		244		1407		29		15/4
	557		26		244		1407		30		16/4  meia noite
